"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5876","Deve buscar produto pelo nome","Hub de Leitura Integrado","2026-07-07","passed","2026-07-07","","","",""
"","7777","Funcionalidade Checkout","Hub de Leitura Integrado","2026-07-07","passed","2026-07-07","","","",""
"","6797","Funcionalidade Login","Hub de Leitura Integrado","2026-07-07","passed","2026-07-07","","","",""
"","2636","AFuncionalidade busca","Hub de Leitura Integrado","2026-07-07","passed","2026-07-07","","","",""
